sex 	length 	width 	height
f 	98 	81 	38
f 	103 	84 	38
f 	103 	86 	42
f 	105 	86 	40
f 	109 	88 	44
f 	123 	92 	50
f 	123 	95 	46
f 	133 	99 	51
f 	133 	102 	51
f 	133 	102 	51
f 	134 	100 	48
f 	136 	102 	49
f 	137 	98 	51
f 	138 	99 	51
f 	141 	105 	53
f 	147 	108 	57
f 	149 	107 	55
f 	153 	107 	56
f 	155 	115 	63
f 	155 	117 	60
f 	158 	115 	62
f 	159 	118 	63
f 	162 	124 	61
f 	177 	132 	67
m 	93 	74 	37
m 	94 	78 	35
m 	96 	80 	35
m 	101 	84 	39
m 	102 	85 	38
m 	103 	81 	37
m 	104 	83 	39
m 	106 	83 	39
m 	107 	82 	38
m 	112 	89 	40
m 	113 	88 	40
m 	114 	86 	40
m 	116 	90 	43
m 	117 	90 	41
m 	117 	91 	41
m 	119 	93 	41
m 	120 	89 	40
m 	120 	93 	44
m 	121 	95 	42
m 	125 	93 	45
m 	127 	96 	45
m 	128 	95 	45
m 	131 	95 	46
m 	135 	106 	47

