pub_ID,pub_name,pub_town
100,Larkhall Inn,Bath
10000,Eight Kings Inn,Southwell
10001,The George Inn,Portland
10002,The Green Shutters,Portland
10004,Little Ship,Portland
10007,The New Star Inn,Portland
10009,Punch Bowl Inn,Portland
1001,The Pilgrims Progress (JD Wetherspoon),Bedford
10010,Royal Breakwater Hotel,Portland
10011,The Royal Exchange Inn,Portland
10012,Royal Portland Arms,Portland
10014,The Forester Inn,Donhead St. Andrew
10018,Half Moon Inn,Shaftesbury
10019,The Kings Arms,Shaftesbury
1002,The Polhill Arms,Renhold
10021,Mitre Inn,Shaftesbury
10023,Ship Inn,Shaftesbury
10025,Ye Olde Two Brewers Inn,Shaftesbury
10027,Mad Dogs,Sherborne
1003,The Prince of Wales,Ampthill
10030,The Digby Tap,Sherborne
10032,Gainsborough Arms,Milborne Port
10033,The George Hotel,Sherborne
10035,Half Moon Hotel,Sherborne
10036,The Kings Arms,Thornford
10037,The Tippling Philosopher,Milborne Port
10038,Plume Of Feathers,Sherborne
10041,The Rose & Crown,Bradford Abbas
10043,Skippers,Sherborne
10046,The White Hart,Yetminster
10047,The White Hart,Sherborne
10048,Antelope Hotel,Hazelbury Bryan
10049,The Blackmore Vale Inn,Marnhull
1005,The Queen,Bedford
10050,Crown Hotel,Marnhull
10052,The Fiddleford Inn,Fiddleford
10053,The Stalbridge Arms,Stalbridge
10054,The Swan Hotel,Stalbridge
10055,The Swan Inn,Sturminster Newton
10056,The Anchor Inn,Swanage
10058,Black Swan Inn,Swanage
1006,The Queens Head,Ampthill
10064,Crows Nest,Swanage
1007,The Red Lion,Elstow
10073,The Globe Inn,Swanage
10078,The Kings Arms,Langton Matravers
10085,The Red Lion,Swanage
10086,The Royal Oak,Swanage
10091,Bankes Arms,Studland
10094,White Horse Inn,Swanage
10095,The White Swan,Swanage
10096,The Albion Inn,Verwood
10099,The Swans,Verwood
10100,The Antelope Inn,Wareham
10101,Bankes Arms Hotel,Corfe Castle
10104,The Black Bear,Wool
10105,The Castle Inn,Corfe Castle
10107,The Drax Arms,Bere Regis
10108,Duke Of Wellington,Wareham
10109,The Fox Inn,Corfe Castle
10111,The Greyhound Inn,Corfe Castle
10112,Halfway Inn,Corfe Castle
10113,The Horse & Groom,Wareham
10114,The Kings Arms,Stoborough
10115,The Kings Arms,Wareham
10116,Lulworth Cove Inn,West Lulworth
10119,The Stokeford Inn,East Stoke
10120,The Quay Inn,Wareham
10121,Monsoon,Wareham
10122,Royal Oak Hotel,Bere Regis
10123,Scott Arms,Wareham
10124,Seven Stars Inn,Wool
10125,The Ship Inn,Wool
10128,The Admiral Hardy Pub,Weymouth
1013,The Legstraps,Wootton
10136,Belvedere Inn,Weymouth
10139,The Black Dog,Weymouth
1014,The Rose & Crown,Ridgmont
10140,The Boot,Weymouth
10141,The Lodmoor,Weymouth
10142,The Bridge Inn,Preston
10146,Chapelhay Tavern,Weymouth
10148,Bar Batida,Weymouth
10150,Moby Dick's,Weymouth
10152,Crown Hotel,Weymouth
10154,Cutter Hotel,Weymouth
10156,The Dolphin,Weymouth
10157,The Red Lion,Weymouth
10159,Duke of Albany,Weymouth
1016,The Royal George,Stevington
10160,Duke Of Cornwall,Weymouth
10161,The Edinburgh House of Sounds,Weymouth
10164,Elm Tree Inn,Weymouth
10166,The New Vic,Weymouth
1017,The Royal Oak,Kempston
10170,The George Inn,Weymouth
10171,The Handmade Pie & Ale House,Weymouth
10172,The Globe Inn,Weymouth
10173,The Golden Lion,Weymouth
10176,The William Henry (JD Wetherspoon),Weymouth
10182,Ilchester Arms Hotel,Abbotsbury
10188,The Kings Arms,Portesham
10189,The Kings Arms,Weymouth
10190,Tides Inn,Weymouth
10198,The Tuatara Bar,Weymouth
10199,The Market House,Weymouth
10210,Nothe Tavern,Weymouth
10212,Old Rooms Inn,Weymouth
10213,The Old Ship Inn,Upwey
10215,The Park,Weymouth
10217,Dusk,Weymouth
10224,The Rock,Weymouth
10227,The Royal Oak,Weymouth
10228,The Royal Oak,Weymouth
10229,The Royal Standard,Upwey
10231,The Sailors Return,Weymouth
10233,The Ship Inn,Weymouth
10235,The Famous Old Spa,Weymouth
10236,The Spice Ship,Preston
10237,The Spyglass,Overcombe
10238,The Star,Weymouth
10240,Sly Fox,Osmington
1025,Verve Hotel,Bedford
10253,The Turks Head Inn,Chickerell
1026,The Ship Inn,Bedford
10260,Victoria Inn,Chickerell
10262,The Waterloo,Weymouth
10266,The Wellington Arms,Weymouth
10270,White Hart Tavern,Weymouth
10272,The Wyke Smugglers,Weymouth
10274,Barley Mow,Wimborne
10276,Dancing Moose,Wimborne
10277,The Golden Fox,Sturminster Marshall
10279,The Coach & Horses,Wimborne
1028,Smiths Arms,Kempston
10281,The Cricketers Arms,Wimborne
