id,date,total_death_missing,location,lat,lon,collapsed_region,region,collapsed_cause,cause_of_death
1,6-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
2,12-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
3,14-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
4,16-Jan-2014,1,"near Douglas, Arizona",31.3447,-109.545,US-Mexico Border,US-Mexico Border,Shooting,Shot
5,16-Jan-2014,1,Border between Russia and Estonia,59.1551,27.8586,Europe,Europe,Harsh Conditions,Hyperthermia
6,17-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Shooting,Shot
7,19-Jan-2014,12,Waters near Greece while being towed back to Turkey,37.2832,27.1582,Mediterranean,Mediterranean,Drowning,Drowning
8,22-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
9,24-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
10,24-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
11,25-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
12,28-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
13,29-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
14,29-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
15,30-Jan-2014,1,"Off the coast of Fort Lauderdale, Florida",26.116,-80.0464,Caribbean,Caribbean,Drowning,Drowning
16,30-Jan-2014,1,France - Calais,50.9355,1.87866,Europe,Europe,Accident,Vehicle Accident
17,6-Feb-2014,15,Ceuta waters,35.8793,-5.36407,Mediterranean,Mediterranean,Shooting,Shot
18,11-Feb-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
19,16-Feb-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
20,16-Feb-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
21,17-Feb-2014,2,Italy waters,34.5645,15.8862,Mediterranean,Mediterranean,Unknown / Other,Unknown
22,17-Feb-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
23,18-Feb-2014,1,California-Mexico border near San Diego,32.5543,-117.052,US-Mexico Border,US-Mexico Border,Shooting,Shot
24,20-Feb-2014,8,Dominican Republic,18.4505,-67.7966,Caribbean,Caribbean,Drowning,Drowning
25,20-Feb-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
26,21-Feb-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
27,25-Feb-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
