form,gender
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
dialect,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
standard,female
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
dialect,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
standard,male
