lemma	pos	freq_ipm
а	conj	8198
а	intj	19.8
а	part	6.1
а	s	2.7
аа	intj	1.5
а-а	intj	17.8
ааа	intj	1.1
а-а-а	intj	6.7
а-а-а-а	intj	0.8
абажур	s	4.9
аббат	s	1.6
аббатство	s	0.9
аббревиатура	s	3.5
абвер	s	2.7
Абдулла	s.PROP	4.4
аберрация	s	0.7
абзац	s	10.2
абитуриент	s	4
абонемент	s	1.8
абонементный	a	0.4
абонент	s	10.6
абонентский	a	2.5
абордаж	s	0.5
абориген	s	5.8
аборт	s	8.3
абразивный	a	0.9
абракадабра	s	1
Абрам	s.PROP	4.1
Абрамов	s.PROP	3.7
Абрамович	s.PROP	10.8
абрек	s	1.3
абрикос	s	3.3
абрикосовый	a	1.2
абрис	s	1.1
абсент	s	1.4
абсолют	s	2.9
абсолютизация	s	0.6
абсолютизировать	v	0.5
абсолютизм	s	1.2
абсолютно	adv	88.2
абсолютность	s	0.4
абсолютный	a	42.3
абсорбент	s	0.4
абсорбция	s	0.9
абстрагирование	s	0.5
абстрагировать	v	0.4
абстрагироваться	v	1
абстрактно	adv	0.7
абстрактный	a	15.9
абстракционизм	s	0.6
абстракционист	s	0.6
абстракция	s	5.6
абсурд	s	9.1
абсурдно	adv	1.3
абсурдность	s	1.5
абсурдный	a	4.5
абсцесс	s	0.4
абсцисса	s	0.9
Абу	s.PROP	2.9
абхаз	s	0.7
абхазец	s	0.6
Абхазия	s.PROP	5.2
абхазский	a	2.1
абы	part	1.2
авангард	s	9.8
авангардизм	s	0.5
авангардист	s	1.6
авангардистский	a	0.6
авангардный	a	3.4
аванс	s	7.1
авансовый	a	1.4
авансцена	s	2.5
авантюра	s	5.5
авантюризм	s	1.2
авантюрист	s	4.1
авантюристка	s	0.6
авантюрный	a	2.3
аварийно-спасательный	a	1.2
аварийность	s	1.3
аварийный	a	12.5
авария	s	29.6
авва	s	1.3
Аввакум	s.PROP	1.8
авгиев	a	0.5
август	s	91
августейший	a	1.1
Августин	s.PROP	2.8
августовский	a	5.6
Авдеев	s.PROP	2.2
Авель	s.PROP	2.7
авеню	s	2.3
авиа	s	0.8
авиабаза	s	2.3
авиабилет	s	1.7
авиабомба	s	0.7
авиадвигатель	s	0.7
авиадиспетчер	s	0.7
авиазавод	s	0.6
авиакатастрофа	s	1.1
авиакомпания	s	10.9
авиаконструктор	s	0.9
авиакосмический	a	1.1
авиакрыло	s	0.7
авиалайнер	s	1.2
авиалиния	s	2.3
авианосец	s	3
авианосный	a	0.7
авиаотряд	s	0.4
авиаперевозка	s	1.1
авиаперевозчик	s	0.8
авиапредприятие	s	0.7
авиапром	s	0.8
авиапромышленность	s	0.5
авиарейс	s	0.6
авиасалон	s	1.5
авиастроение	s	0.8
авиастроитель	s	0.5
авиастроительный	a	1
авиатехник	s	1.1
авиатор	s	1.8
авиационно-космический	a	1.1
авиационный	a	28.6
авиация	s	38.8
авиетка	s	0.4
авионика	s	0.9
авитаминоз	s	1
авокадо	s	0.8
авось	part	6.5
авоська	s	4.9
Авраам	s.PROP	4.8
аврал	s	1.3
авральный	a	0.9
Аврора	s.PROP	5.2
австралиец	s	2.2
австралийский	a	5.6
Австралия	s.PROP	16.8
австриец	s	2.6
австрийский	a	8.3
Австрия	s.PROP	11.2
австро-венгерский	a	0.5
авто	s	6.3
автобаза	s	1.4
автобан	s	1.1
автобиографический	a	3
автобиография	s	4
автобус	s	64.8
автобусный	a	7.3
АвтоВАЗ	s.PROP	7.7
автовладелец	s	2.6
автовокзал	s	1
автоген	s	0.5
автогигант	s	0.5
автогонки	s	1.7
автогонщик	s	0.7
автогражданский	a	0.5
автограф	s	10.3
автодорога	s	2.7
автодорожный	a	0.6
автодром	s	3.7
автозавод	s	4.3
автозаводец	s	0.8
автозаводский	a	0.9
автозаправка	s	0.4
автозаправочный	a	0.7
автозапчасти	s	0.4
автоинспектор	s	0.9
автоинспекция	s	0.5
автокатастрофа	s	1.9
автоклав	s	0.8
автоколонна	s	1.2
автокомбинат	s	0.4
автокран	s	1.1
автолавка	s	0.5
автолюбитель	s	3
автомагистраль	s	1.4
автомастерская	s	0.6
автомат	s	56
автоматизация	s	8.5
автоматизированный	a	11.2
автоматизировать	v	2.1
автоматизм	s	1.6
автоматика	s	4.9
автоматически	adv	20
автоматический	a	24
автоматный	a	4.2
автоматчик	s	4.5
автомашина	s	10.4
автомеханик	s	0.5
автомобилестроение	s	1.6
автомобилестроитель	s	0.5
автомобилизация	s	0.4
автомобилист	s	3.8
автомобиль	s	156.9
автомобильный	a	34
автомобильчик	s	0.8
автономия	s	8.9
автономно	adv	1.4
автономность	s	1.1
автономный	a	22.1
автоответчик	s	2.9
автопарк	s	1.3
автопилот	s	7.4
автопоезд	s	0.9
автопортрет	s	1.8
автопредприятие	s	0.4
автопроизводитель	s	1.5
автопром	s	1.8
автор	s	262.1
авторадио	s	0.4
авторемонтный	a	0.8
автореферат	s	2.3
авторизация	s	0.5
авторизованный	a	0.7
авторитаризм	s	1.1
авторитарность	s	0.4
авторитарный	a	3.7
авторитет	s	37.1
авторитетнейший	a	0.5
авторитетно	adv	1.9
авторитетность	s	0.5
авторитетный	a	12.1
авторский	a	27.1
авторство	s	4.6
авторучка	s	3.8
авторынок	s	0.7
автосалон	s	4.3
автосамосвал	s	1.7
автосервис	s	2.1
автослесарь	s	0.5
