word,John,Luke,Mark,Matthew
abide,0.0020627062706270625,4.161464835622139e-4,2.449779519843214e-4,1.4734050390452334e-4
abraham,0.0016501650165016502,0.0019420169232903315,2.449779519843214e-4,0.0010313835273316634
abroad,4.1254125412541255e-4,5.548619780829519e-4,9.799118079372856e-4,7.367025195226168e-4
accusation,2.0627062706270627e-4,2.7743098904147595e-4,2.449779519843214e-4,1.4734050390452334e-4
accuse,4.1254125412541255e-4,5.548619780829519e-4,2.449779519843214e-4,1.4734050390452334e-4
adultery,4.1254125412541255e-4,4.161464835622139e-4,7.349338559529642e-4,0.0010313835273316634
afraid,8.250825082508251e-4,6.935774726036898e-4,0.0017148456638902498,0.0010313835273316634
afterward,2.0627062706270627e-4,5.548619780829519e-4,4.899559039686428e-4,5.893620156180934e-4
amen,2.0627062706270627e-4,1.3871549452073797e-4,2.449779519843214e-4,2.946810078090467e-4
andrew,0.0010313531353135313,1.3871549452073797e-4,9.799118079372856e-4,2.946810078090467e-4
angels,4.1254125412541255e-4,0.0012484394506866417,0.001224889759921607,0.0019154265507588036
answer,4.1254125412541255e-4,0.0011097239561659038,7.349338559529642e-4,7.367025195226168e-4
answered,0.015882838283828384,0.0033291718684977114,0.007349338559529643,0.007072344187417121
arimathaea,2.0627062706270627e-4,1.3871549452073797e-4,2.449779519843214e-4,1.4734050390452334e-4
arise,2.0627062706270627e-4,8.322929671244278e-4,7.349338559529642e-4,8.840430234271402e-4
arose,6.188118811881188e-4,0.0016645859342488557,0.002204801567858893,0.0017680860468542803
art,0.005775577557755775,0.003606602857539187,0.0026947574718275357,0.002504788566376897
authority,2.0627062706270627e-4,0.0012484394506866417,0.0019598236158745713,0.0010313835273316634
baptize,4.1254125412541255e-4,2.7743098904147595e-4,4.899559039686428e-4,2.946810078090467e-4
baptized,0.0010313531353135313,9.710084616451658e-4,0.0019598236158745713,0.0011787240312361867
barabbas,4.1254125412541255e-4,1.3871549452073797e-4,7.349338559529642e-4,7.367025195226168e-4
bare,0.0016501650165016502,6.935774726036898e-4,4.899559039686428e-4,1.4734050390452334e-4
baskets,2.0627062706270627e-4,1.3871549452073797e-4,9.799118079372856e-4,5.893620156180934e-4
bear,0.003094059405940594,0.0011097239561659038,4.899559039686428e-4,5.893620156180934e-4
bed,0.0010313531353135313,5.548619780829519e-4,0.0014698677119059284,2.946810078090467e-4
beginning,0.0020627062706270625,5.548619780829519e-4,7.349338559529642e-4,8.840430234271402e-4
beheld,4.1254125412541255e-4,8.322929671244278e-4,7.349338559529642e-4,1.4734050390452334e-4
behold,0.003919141914191419,0.007213205715078374,0.0031847133757961785,0.0088404302342714
believed,0.005569306930693069,6.935774726036898e-4,7.349338559529642e-4,4.420215117135701e-4
belly,2.0627062706270627e-4,1.3871549452073797e-4,2.449779519843214e-4,2.946810078090467e-4
besought,8.250825082508251e-4,0.0013871549452073796,0.0014698677119059284,7.367025195226168e-4
bethany,6.188118811881188e-4,2.7743098904147595e-4,9.799118079372856e-4,2.946810078090467e-4
bethsaida,4.1254125412541255e-4,2.7743098904147595e-4,4.899559039686428e-4,1.4734050390452334e-4
betray,0.0012376237623762376,2.7743098904147595e-4,9.799118079372856e-4,7.367025195226168e-4
betrayed,4.1254125412541255e-4,2.7743098904147595e-4,9.799118079372856e-4,0.0013260645351407102
