city,population_2010,min_january,min_february,min_march,min_april,min_may,min_june,min_july,min_august,min_september,min_october,min_november,min_december,max_january,max_february,max_march,max_april,max_may,max_june,max_july,max_august,max_september,max_october,max_november,max_december
"Atlanta, Georgia",5268860,52,57,65,73,80,86,89,88,82,73,64,54,34,38,44,52,60,68,71,71,65,54,45,37
"Austin, Texas",1716289,62,65,72,80,87,92,96,97,91,82,71,63,42,45,51,59,67,72,74,75,69,61,51,42
"Baltimore, Maryland",2710489,41,45,54,65,74,83,87,85,78,67,56,45,24,27,34,43,52,62,67,65,58,45,37,28
"Birmingham, Alabama",1128047,54,58,67,74,82,88,91,91,85,75,65,56,34,37,44,51,60,68,71,71,64,53,44,36
"Boston, Massachusetts",4552402,36,39,45,56,66,76,81,80,72,61,52,41,22,25,31,41,50,60,65,65,57,47,38,28
"Buffalo, New York",1135509,31,33,42,55,67,75,80,78,71,59,48,36,19,19,26,37,47,57,62,61,53,43,34,24
"Charlotte, North Carolina",1758038,51,55,63,72,79,86,89,88,81,72,62,53,30,33,39,47,56,65,68,67,60,49,39,32
"Chicago, Illinois",9461105,31,35,47,59,70,80,84,82,75,62,48,35,17,20,29,39,48,58,64,63,54,43,32,21
"Cincinnati, Ohio",2130151,40,45,55,66,75,83,87,86,79,68,56,43,22,25,33,42,52,61,65,63,55,43,34,26
"Cleveland, Ohio",2077240,34,38,47,59,70,79,83,81,74,62,51,38,22,24,30,40,50,60,64,63,56,45,37,26
"Columbus, Ohio",1836536,37,41,51,64,73,82,85,84,77,65,53,40,23,25,33,43,52,62,66,64,57,45,36,27
"Dallas, Texas",6371773,57,61,69,77,84,92,96,96,89,79,67,58,37,41,49,56,65,73,77,77,69,58,48,39
"Denver, Colorado",2543482,45,46,54,61,71,81,88,86,77,65,52,43,17,20,26,34,44,53,59,57,48,36,25,17
"Detroit, Michigan",4296250,32,35,46,59,70,79,83,81,74,62,49,36,19,21,29,39,49,60,64,63,55,43,34,24
"Hartford, Connecticut",1212381,35,39,48,61,71,80,85,83,75,63,52,40,18,21,28,38,48,57,63,61,53,41,33,23
"Houston, Texas",5946800,63,66,73,80,86,91,94,95,90,82,73,64,43,47,53,59,68,73,75,75,70,61,52,45
"Indianapolis, Indiana",1756241,36,40,52,63,73,82,85,84,78,65,52,39,21,24,33,43,53,62,66,64,56,45,35,24
"Jacksonville, Florida",1345596,65,68,74,79,86,90,92,91,87,80,74,67,41,45,50,55,63,70,73,73,70,61,51,44
"Kansas City, Missouri",2035334,40,45,56,67,76,85,90,89,80,68,54,42,22,26,36,47,57,67,72,70,61,49,37,26
"Las Vegas, Nevada",1951269,58,63,70,78,89,99,104,102,94,81,66,57,39,43,49,56,66,75,81,79,71,59,47,39
"Los Angeles, California",12828837,68,69,70,73,75,78,83,84,83,79,73,68,48,49,51,54,57,60,64,64,63,59,52,48
"Louisville, Kentucky",1283566,43,48,58,69,77,85,89,88,82,70,58,46,27,30,38,47,57,66,70,69,61,49,40,30
"Memphis, Tennessee",1316100,50,55,64,73,81,89,92,91,85,74,63,52,33,36,44,53,62,70,74,73,65,54,44,35
"Miami, Florida",5564635,76,78,80,83,87,90,91,91,89,86,82,78,60,62,65,68,73,76,77,77,77,74,68,63
"Milwaukee, Wisconsin",1555908,29,33,42,54,65,75,80,79,71,59,46,33,16,19,28,37,47,57,64,63,55,43,32,20
"Minneapolis, Minnesota",3279833,24,29,41,58,69,79,83,81,72,58,41,27,8,13,24,37,49,59,64,62,52,40,26,12
"Nashville, Tennessee",1589934,47,52,61,71,78,86,89,89,82,72,60,50,28,32,39,48,57,65,70,68,61,49,39,31
"New Orleans, Louisiana",1167764,62,65,72,78,85,90,91,91,88,80,72,64,45,48,54,60,68,74,75,75,72,63,54,47
"New York, New York",18897109,38,42,50,61,71,79,84,83,75,64,54,43,27,29,35,45,54,64,69,68,61,50,42,32
"Oklahoma City, Oklahoma",1252987,50,55,63,72,80,88,94,93,85,73,62,51,29,33,41,50,60,68,72,71,63,52,40,31
"Orlando, Florida",2134411,71,74,78,83,88,91,92,92,90,85,78,73,49,52,56,60,66,72,74,74,73,66,59,52
"Philadelphia, Pennsylvania",5965343,40,44,53,64,74,83,87,85,78,67,56,45,26,28,34,44,54,64,69,68,60,48,39,30
"Phoenix, Arizona",4192887,69,72,78,86,95,104,106,104,100,89,76,67,46,49,54,60,69,77,83,82,75,64,52,45
"Pittsburgh, Pennsylvania",2356285,36,39,49,62,71,79,83,81,74,63,51,39,21,23,30,40,49,58,63,62,54,43,35,25
"Portland, Oregon",2226009,47,51,57,62,69,73,81,81,75,64,52,45,36,37,39,43,48,52,56,57,52,46,41,35
"Providence, Rhode Island",1600852,37,40,48,59,68,78,83,81,74,63,53,42,21,24,30,40,49,58,64,63,55,44,36,26
"Raleigh, North Carolina",1130490,51,55,63,72,80,87,90,89,82,73,63,54,30,32,39,48,57,66,69,68,61,50,41,33
"Richmond, Virginia",1258251,47,51,60,70,78,86,90,88,81,71,61,51,28,31,37,46,55,65,69,67,60,48,39,31
"Riverside, California",4224851,69,70,73,78,83,89,95,96,92,83,75,69,43,45,46,50,55,59,64,65,61,55,47,42
"Rochester, New York",1054323,32,34,43,56,68,77,81,79,72,60,48,37,18,19,26,37,46,56,61,60,52,42,33,24
"Sacramento, California",2149127,54,60,65,71,80,87,92,91,87,78,64,54,39,41,44,46,51,56,58,58,56,50,43,38
"Salt Lake City, Utah",1124197,37,43,54,62,72,83,93,91,79,65,49,38,22,25,34,40,48,56,65,63,53,41,31,23
"San Antonio, Texas",2142508,63,67,74,81,87,92,95,96,90,82,72,64,41,44,51,58,67,73,75,75,69,60,50,42
"San Diego, California",3095313,65,65,66,68,69,71,75,76,76,73,69,65,49,51,53,56,59,62,65,67,65,61,54,48
"San Francisco, California",4335391,57,60,62,63,64,66,67,68,70,69,63,57,46,48,49,49,51,53,54,55,55,54,50,46
"San Jose, California",1836911,58,62,66,69,74,79,82,82,80,74,64,58,42,45,47,49,52,56,58,58,57,53,46,42
"Seattle, Washington",3439809,49,51,55,60,66,71,76,76,71,61,52,47,37,37,40,43,49,53,57,57,53,47,41,36
"St. Louis, Missouri",2812896,40,45,56,67,76,85,89,88,80,69,56,43,24,28,37,47,57,67,71,69,61,49,38,27
"Tampa, Florida",2783243,70,73,76,81,87,90,90,90,89,84,78,72,52,54,58,63,70,75,76,76,75,68,60,54
"Virginia Beach, Virginia",1671683,48,51,58,68,75,84,87,85,79,70,61,52,33,34,41,49,58,67,72,71,65,54,45,36
"Washington, DC",5582170,43,47,56,67,75,84,88,87,80,68,58,47,29,31,38,47,57,66,71,70,62,51,41,33
