date,good,bad,no_answer,towards
4-1990,75,7,19,USA
11-1991,80,6,14,USA
8-1992,74,8,20,USA
4-1993,72,7,22,USA
3-1997,72,18,10,USA
12-1998,67,23,10,USA
3-1999,38,49,13,USA
4-1999,33,53,14,USA
5-1999,32,54,15,USA
8-1999,49,33,18,USA
9-1999,60,25,15,USA
11-1999,54,31,15,USA
12-1999,60,28,13,USA
2-2000,67,22,12,USA
5-2000,68,21,11,USA
7-2000,69,23,8,USA
2-2001,59,27,13,USA
5-2001,69,22,9,USA
9-2001,70,20,10,USA
10-2001,60,27,12,USA
11-2001,68,22,10,USA
12-2001,65,24,11,USA
1-2002,68,20,12,USA
3-2002,48,41,10,USA
4-2002,59,34,8,USA
5-2002,61,28,11,USA
6-2002,65,26,10,USA
7-2002,69,19,13,USA
8-2002,67,22,11,USA
9-2002,60,29,10,USA
10-2002,69,24,7,USA
11-2002,61,29,10,USA
1-2003,53,38,9,USA
3-2003,48,40,12,USA
4-2003,27,66,7,USA
5-2003,46,44,10,USA
6-2003,46,42,13,USA
7-2003,56,38,6,USA
8-2003,59,30,11,USA
9-2003,47,43,11,USA
10-2003,64,28,9,USA
11-2003,59,33,9,USA
12-2003,59,30,11,USA
1-2004,54,36,10,USA
2-2004,65,29,7,USA
3-2004,56,36,8,USA
4-2004,53,36,11,USA
5-2004,53,37,10,USA
6-2004,56,35,8,USA
7-2004,57,35,9,USA
8-2004,67,26,7,USA
9-2004,62,31,7,USA
10-2004,62,31,7,USA
11-2004,66,29,5,USA
12-2004,58,34,8,USA
1-2005,61,32,7,USA
2-2005,60,31,9,USA
3-2005,60,32,8,USA
4-2005,63,29,8,USA
5-2005,60,31,9,USA
6-2005,63,29,8,USA
7-2005,66,26,8,USA
8-2005,63,26,11,USA
9-2005,59,30,10,USA
10-2005,61,30,9,USA
11-2005,63,30,7,USA
12-2005,57,32,11,USA
1-2006,57,32,12,USA
2-2006,52,37,12,USA
3-2006,50,39,12,USA
4-2006,53,39,8,USA
5-2006,45,44,11,USA
6-2006,51,39,9,USA
7-2006,54,36,11,USA
8-2006,55,34,11,USA
9-2006,58,33,10,USA
10-2006,50,39,11,USA
11-2006,56,32,12,USA
12-2006,50,36,14,USA
1-2007,55,35,10,USA
2-2007,45,45,11,USA
3-2007,44,47,9,USA
4-2007,43,48,10,USA
5-2007,45,43,12,USA
6-2007,48,41,12,USA
7-2007,52,38,10,USA
8-2007,47,39,14,USA
10-2007,48,41,0,USA
11-2007,54,35,11,USA
12-2007,47,42,11,USA
1-2008,51,39,11,USA
2-2008,49,37,15,USA
3-2008,48,40,12,USA
5-2008,51,37,12,USA
7-2008,43,46,11,USA
9-2008,23,67,10,USA
11-2008,33,51,15,USA
1-2009,38,49,13,USA
3-2009,46,40,14,USA
5-2009,36,50,14,USA
7-2009,47,40,14,USA
9-2009,53,33,14,USA
1-201,54,31,15,USA
3-201,53,34,14,USA
5-201,60,27,14,USA
7-201,60,27,13,USA
9-201,56,29,16,USA
11-201,62,26,12,USA
1-2011,60,27,13,USA
3-2011,54,33,13,USA
7-2011,59,29,12,USA
9-2011,60,27,13,USA
11-2011,64,23,13,USA
1-2012,45,40,15,USA
3-2012,51,35,15,USA
5-2012,54,32,14,USA
7-2012,56,32,12,USA
9-2012,46,38,15,USA
11-2012,53,34,13,USA
1-2013,55,25,17,USA
3-2013,48,39,13,USA
5-2013,51,38,11,USA
7-2013,53,36,11,USA
9-2013,41,49,11,USA
12-2013,48,37,15,USA
1-2014,43,44,13,USA
5-2014,18,71,11,USA
7-2014,17,74,9,USA
9-2014,17,73,10,USA
11-2014,18,73,9,USA
1-2015,12,81,7,USA
3-2015,19,73,8,USA
5-2015,16,73,12,USA
7-2015,19,70,11,USA
9-2015,21,68,12,USA
11-2015,21,70,10,USA
1-2016,23,65,13,USA
