name,code,latitude,longitude
Мурманская область,47,67.926546,34.157046
Ненецкий автономный округ,10011,67.714212,54.365062
Красноярский край,4,67.236779,95.968477
Ямало-Ненецкий автономный округ,71140,66.086435,80.005397
Чукотский автономный округ,77,65.982613,174.432311
Республика Саха (Якутия),98,65.061073,119.845652
Республика Коми,87,64.125463,54.789669
Архангельская область,11,63.637517,43.336661
Республика Карелия,86,63.621324,33.232608
Магаданская область,44,62.575815,154.036835
Ханты-Мансийский автономный округ - Югра,71100,61.588912,65.897508
Камчатский край,30,61.350179,169.782981
Вологодская область,19,60.138988,44.049618
Санкт-Петербург,40,59.939095,30.315868
Ленинградская область,41,59.337013,29.608975
Пермский край,57,59.117698,56.225679
Томская область,69,58.949193,78.63728
Кировская область,33,58.603581,49.667978
Свердловская область,65,58.586755,61.530761
Костромская область,34,58.456003,43.788495
Новгородская область,49,58.307715,32.490222
Ярославская область,78,57.817361,39.105138
Тюменская область,71,57.541821,68.096045
Псковская область,58,57.236486,29.236911
Удмуртская Республика,94,57.166784,52.796972
Иркутская область,25,57.100294,106.363305
Тверская область,28,57.093033,34.706195
Ивановская область,24,56.967836,41.966406
Республика Марий Эл,88,56.485739,48.197858
Нижегородская область,22,56.312764,44.611891
Омская область,52,56.103472,73.344416
Владимирская область,17,55.904195,40.898894
Московская область,46,55.815792,37.380031
Республика Татарстан (Татарстан),92,55.779013,49.110753
Москва,45,55.753215,37.622504
Новосибирская область,50,55.582396,79.264861
Чувашская Республика - Чувашия,97,55.492023,47.086875
Курганская область,37,55.448347,64.809405
Смоленская область,66,54.956192,32.998543
Кемеровская область,32,54.779047,87.207361
Калининградская область,27,54.754365,21.22993
Республика Бурятия,81,54.544222,112.348699
Челябинская область,75,54.446199,60.395641
Калужская область,29,54.3718,35.445185
Рязанская область,61,54.333363,40.62524
Республика Башкортостан,80,54.2715,56.525537
Республика Мордовия,89,54.205758,44.319669
Ульяновская область,73,53.891057000000004,47.606533
Тульская область,70,53.888064,37.575693
Амурская область,10,53.413341,127.728064
Республика Хакасия,95,53.386357,89.897078
Самарская область,36,53.27635,50.463301
Пензенская область,56,53.1824,44.634151
Брянская область,15,52.909192,33.422197
Забайкальский край,76,52.847258,116.200424
Орловская область,54,52.781455,36.481042
Оренбургская область,53,52.743528,53.498682
Тамбовская область,68,52.680864,41.587183
Липецкая область,42,52.644554,39.149784
Алтайский край,1,52.129671,82.530013
Хабаровский край,8,51.695886,136.637034
Курская область,38,51.680369,36.104872
Республика Тыва,93,51.584332,94.793085
