titles,text_author,а,без,бы,был,было,быть,в,вам,вас,во,вот,все,вы,да,даже,для,до,его,ее,ему,если,есть,еще,же,за,и,из,или,к,как,когда,ли,меня,мне,мы,на,не,него,нет,ни,ничего,но,ну,о,он,она,от,по,под,раз,с,себе,себя,со,так,теперь,то,только,тут,ты,у,уже,чего,человек,чем,что,это,я
«Кавардак в Риме»,Чехов,0.0049504950495049506,0,0,0,0,0.0033003300330033004,0.037953795379537955,0.0033003300330033004,0.0033003300330033004,0.0016501650165016502,0.0033003300330033004,0.0033003300330033004,0,0,0,0.0016501650165016502,0,0.0016501650165016502,0.0033003300330033004,0.0033003300330033004,0.0033003300330033004,0.0016501650165016502,0.0049504950495049506,0,0.00825082508250825,0.0297029702970297,0.0033003300330033004,0,0.0033003300330033004,0.0033003300330033004,0,0.0049504950495049506,0.0016501650165016502,0.0049504950495049506,0.0016501650165016502,0.0165016501650165,0.0231023102310231,0,0.0016501650165016502,0.0033003300330033004,0.0033003300330033004,0.00825082508250825,0,0.0016501650165016502,0.0016501650165016502,0,0.0016501650165016502,0.0049504950495049506,0,0.0016501650165016502,0.009900990099009901,0,0.0033003300330033004,0.0016501650165016502,0.0049504950495049506,0,0.0049504950495049506,0.0033003300330033004,0,0,0.0049504950495049506,0,0,0.0016501650165016502,0.0016501650165016502,0,0.006600660066006601,0.0231023102310231
«О марте. Об апреле. О мае. Об июне и июле. Об августе»,Чехов,0.002373887240356083,0,0.0017804154302670622,0.007121661721068249,5.934718100890207e-4,0.0011869436201780415,0.05222551928783383,0,0,0.002373887240356083,0,0.002373887240356083,0,0,0.002373887240356083,0.0035608308605341245,0,0.004747774480712166,0.0011869436201780415,0,0.0035608308605341245,5.934718100890207e-4,0,0.00771513353115727,0.005341246290801187,0.04451038575667656,0.004747774480712166,0.002373887240356083,0.0035608308605341245,0.004747774480712166,0.0035608308605341245,0,0,0,0,0.012462908011869436,0.012462908011869436,5.934718100890207e-4,0,0.0011869436201780415,0.0011869436201780415,0.002373887240356083,0,0.004747774480712166,0.005341246290801187,0.0011869436201780415,0.005934718100890208,0.007121661721068249,0.0011869436201780415,0,0.00830860534124629,0,5.934718100890207e-4,0,0.004154302670623145,0,0.002967359050445104,0.002967359050445104,0,0,0.010089020771513354,5.934718100890207e-4,5.934718100890207e-4,0,5.934718100890207e-4,0.010682492581602374,0.002373887240356083,0
"«Свидание хотя и состоялось, но…»",Чехов,0.010393466963622866,0,0.0014847809948032665,0.0022271714922048997,7.423904974016332e-4,0.003711952487008166,0.017817371937639197,7.423904974016332e-4,0.002969561989606533,0.003711952487008166,0.0014847809948032665,0.005939123979213066,0.014105419450631032,0.003711952487008166,7.423904974016332e-4,0,0.005939123979213066,0.011135857461024499,0.003711952487008166,0.003711952487008166,0.0014847809948032665,0,7.423904974016332e-4,0.005196733481811433,0.0066815144766146995,0.04528582034149963,0.002969561989606533,0,0.003711952487008166,0.007423904974016332,0.0014847809948032665,0.0014847809948032665,0.002969561989606533,0.007423904974016332,0.0014847809948032665,0.017817371937639197,0.017817371937639197,7.423904974016332e-4,0.0014847809948032665,7.423904974016332e-4,7.423904974016332e-4,0.004454342984409799,0.002969561989606533,0.009651076466221232,0.01855976243504083,0.01855976243504083,0.002969561989606533,0.005196733481811433,0.0014847809948032665,0.0014847809948032665,0.009651076466221232,0.0014847809948032665,0.0014847809948032665,7.423904974016332e-4,0.004454342984409799,0,0.004454342984409799,0.003711952487008166,7.423904974016332e-4,7.423904974016332e-4,0.003711952487008166,0.0014847809948032665,7.423904974016332e-4,0,7.423904974016332e-4,0.015590200445434299,0.004454342984409799,0.024498886414253896
"3000 иностранных слов, вошедших в употребление русского языка",Чехов,0,0.006289308176100629,0.006289308176100629,0.006289308176100629,0,0.006289308176100629,0.025157232704402517,0.006289308176100629,0,0.006289308176100629,0,0,0,0,0,0,0,0.006289308176100629,0,0,0,0,0,0.006289308176100629,0,0.018867924528301886,0,0.006289308176100629,0,0,0,0,0,0,0,0.018867924528301886,0.006289308176100629,0,0,0.006289308176100629,0,0.006289308176100629,0,0.006289308176100629,0.012578616352201259,0.006289308176100629,0.012578616352201259,0.006289308176100629,0.006289308176100629,0,0,0,0,0,0.006289308176100629,0,0.006289308176100629,0,0,0,0,0,0,0.012578616352201259,0,0.006289308176100629,0,0
75 000,Чехов,0.007215007215007215,0,0.007936507936507936,0.004329004329004329,0.001443001443001443,7.215007215007215e-4,0.020923520923520924,0.002886002886002886,0.0036075036075036075,7.215007215007215e-4,0.004329004329004329,0.004329004329004329,7.215007215007215e-4,0.0021645021645021645,0,7.215007215007215e-4,0.002886002886002886,0.005050505050505051,0.001443001443001443,0.004329004329004329,0.001443001443001443,0.002886002886002886,0.0021645021645021645,0.0036075036075036075,0.007215007215007215,0.046176046176046176,0.004329004329004329,7.215007215007215e-4,0.010101010101010102,0.004329004329004329,0.006493506493506494,0.005050505050505051,0.004329004329004329,0.0036075036075036075,7.215007215007215e-4,0.010101010101010102,0.025252525252525252,0.001443001443001443,7.215007215007215e-4,0.001443001443001443,0,0.0036075036075036075,0.0021645021645021645,7.215007215007215e-4,0.011544011544011544,0.005772005772005772,0.007215007215007215,0.007936507936507936,0.0021645021645021645,7.215007215007215e-4,0.010822510822510822,0.0036075036075036075,0.001443001443001443,0.0036075036075036075,0.0021645021645021645,0.002886002886002886,0.007936507936507936,0,7.215007215007215e-4,0.020923520923520924,0.004329004329004329,7.215007215007215e-4,7.215007215007215e-4,0.0036075036075036075,7.215007215007215e-4,0.012265512265512266,0.005772005772005772,0.016594516594516596
Mari d’Elle,Чехов,0.017543859649122806,0.0014035087719298245,0.004912280701754386,0.002105263157894737,7.017543859649122e-4,7.017543859649122e-4,0.02175438596491228,7.017543859649122e-4,0.0014035087719298245,0.0014035087719298245,0.002105263157894737,0.002105263157894737,7.017543859649122e-4,0.005614035087719298,0.002105263157894737,0.0035087719298245615,0.0014035087719298245,0.0035087719298245615,0.004210526315789474,0.002105263157894737,0.002105263157894737,7.017543859649122e-4,0.0014035087719298245,0.008421052631578947,0.002807017543859649,0.041403508771929824,0.0035087719298245615,0.002105263157894737,7.017543859649122e-4,0.009122807017543859,0.005614035087719298,7.017543859649122e-4,0.005614035087719298,0.002807017543859649,0.002105263157894737,0.01263157894736842,0.02456140350877193,0.00631578947368421,0.0035087719298245615,0.002807017543859649,0.0014035087719298245,7.017543859649122e-4,0.004210526315789474,0.0035087719298245615,0.010526315789473684,0.005614035087719298,0.002807017543859649,0.007017543859649123,0,7.017543859649122e-4,0.008421052631578947,0.0014035087719298245,0.0014035087719298245,7.017543859649122e-4,0.00631578947368421,0.004210526315789474,0.01263157894736842,0.004912280701754386,7.017543859649122e-4,0.01263157894736842,0.010526315789473684,0.002105263157894737,0.002105263157894737,7.017543859649122e-4,0.002807017543859649,0.010526315789473684,0.004210526315789474,0.016140350877192983
Perpetuum mobile,Чехов,0.006496751624187906,0,0.001999000499750125,0.0029985007496251873,0.0014992503748125937,0.0014992503748125937,0.019490254872563718,0.0014992503748125937,0.0024987506246876563,0.0014992503748125937,0.0024987506246876563,0.004497751124437781,0.013493253373313344,0.006496751624187906,0.0024987506246876563,9.995002498750624e-4,0.0014992503748125937,0.001999000499750125,9.995002498750624e-4,0.0014992503748125937,0.0029985007496251873,9.995002498750624e-4,9.995002498750624e-4,0.004997501249375313,0.0079960019990005,0.04547726136931534,0.00399800099950025,0.001999000499750125,0.005497251374312844,0.00399800099950025,0.0024987506246876563,0.001999000499750125,0.004497751124437781,0.0029985007496251873,0.00399800099950025,0.015992003998001,0.02148925537231384,0.001999000499750125,0.001999000499750125,9.995002498750624e-4,0,0.00399800099950025,0.005497251374312844,0.0024987506246876563,0.009495252373813094,0.0034982508745627187,0.0014992503748125937,0.004497751124437781,9.995002498750624e-4,4.997501249375312e-4,0.009495252373813094,9.995002498750624e-4,0.001999000499750125,9.995002498750624e-4,0.0034982508745627187,9.995002498750624e-4,0.0079960019990005,0.0014992503748125937,0.0029985007496251873,0.004497751124437781,0.005497251374312844,4.997501249375312e-4,4.997501249375312e-4,0.001999000499750125,0.0014992503748125937,0.01649175412293853,0.009995002498750625,0.017491254372813594
АВАНТЮРНЫЙ РАССКАЗ,Зощенко,0.021341463414634148,0,0,0,0.009146341463414634,0,0.021341463414634148,0.003048780487804878,0.006097560975609756,0,0,0,0,0,0,0,0,0,0.006097560975609756,0,0,0.003048780487804878,0,0.006097560975609756,0.009146341463414634,0.04878048780487805,0.009146341463414634,0,0,0.003048780487804878,0,0.003048780487804878,0.009146341463414634,0.003048780487804878,0,0.01524390243902439,0.012195121951219513,0,0,0.003048780487804878,0.003048780487804878,0,0.006097560975609756,0,0.006097560975609756,0,0,0,0.003048780487804878,0,0.018292682926829267,0,0,0,0,0,0.003048780487804878,0,0.003048780487804878,0,0.012195121951219513,0,0,0.003048780487804878,0,0.009146341463414634,0,0.012195121951219513
АКТЕР,Зощенко,0.02533783783783784,0,0,0.0033783783783783786,0,0,0.02702702702702703,0,0,0.0016891891891891893,0.006756756756756757,0.005067567567567568,0.0033783783783783786,0.0033783783783783786,0,0,0.005067567567567568,0.005067567567567568,0,0,0.0033783783783783786,0.0016891891891891893,0,0,0.0016891891891891893,0.02195945945945946,0.006756756756756757,0,0.010135135135135136,0.005067567567567568,0,0.0016891891891891893,0.006756756756756757,0.006756756756756757,0.0016891891891891893,0.006756756756756757,0.028716216216216218,0,0.0016891891891891893,0.0016891891891891893,0.0033783783783783786,0.0016891891891891893,0.0033783783783783786,0,0.0033783783783783786,0,0.006756756756756757,0.013513513513513514,0.0016891891891891893,0.0033783783783783786,0.006756756756756757,0,0,0.0016891891891891893,0.005067567567567568,0,0.010135135135135136,0.005067567567567568,0.0033783783783783786,0.0033783783783783786,0.008445945945945946,0,0.0016891891891891893,0,0,0.008445945945945946,0.008445945945945946,0.018581081081081082
Актерская гибель,Чехов,0.011176470588235295,0.001176470588235294,0.005294117647058823,0.002352941176470588,0.001176470588235294,5.88235294117647e-4,0.03235294117647059,0.001176470588235294,0.001176470588235294,0.001176470588235294,0.006470588235294118,0.002352941176470588,0.0035294117647058825,0.004705882352941176,0.0035294117647058825,0,0.005294117647058823,0.006470588235294118,0.001176470588235294,0.001176470588235294,0,5.88235294117647e-4,0.002352941176470588,0.0029411764705882353,0.005294117647058823,0.04294117647058823,0.002352941176470588,0.0017647058823529412,0.0058823529411764705,0.0058823529411764705,0.001176470588235294,0.001176470588235294,0.00411764705882353,0.001176470588235294,5.88235294117647e-4,0.015294117647058824,0.021176470588235293,0.0029411764705882353,0.0029411764705882353,0.0058823529411764705,0.0017647058823529412,0.006470588235294118,0.00411764705882353,5.88235294117647e-4,0.01588235294117647,0,0.0017647058823529412,0.002352941176470588,0.0017647058823529412,0.0017647058823529412,0.011764705882352941,5.88235294117647e-4,0.002352941176470588,0,0.005294117647058823,0.0017647058823529412,0.00411764705882353,0.001176470588235294,0,0.011764705882352941,0.007647058823529412,5.88235294117647e-4,0.001176470588235294,5.88235294117647e-4,0,0.019411764705882354,0.004705882352941176,0.008823529411764706
