language,n_L1_sp,n_L2_sp,n_L3_sp,n_all_sp
Hindi,422048642,98207180,31160696,551416518
English,226449,86125221,38993066,125344736
Bengali,83369769,6637222,1108088,91115079
Telugu,74002856,9723626,1266019,84992501
Marathi,71936894,9546414,2701498,84184806
Tamil,60793814,4992253,956335,66742402
Urdu,51536111,6535489,1007912,59079512
Kannada,37924011,11455287,1396428,50775726
Gujarati,46091617,3476355,703989,50271961
Odia,33017446,3272151,319525,36609122
Malayalam,33066392,499188,195885,33761465
Sanskrit,14135,1234931,3742223,4991289
