Study_ID	Data_ID	k	Country	n	Design	outcome_test_cat	Effect_size	SE	Outcome_age	quasi_age	cpiq_early_age	cpiq_age_diff	ses_funnel	published	Male_only	Achievement
1	1	4	UK	483	Control Prior IQ	0	0.778099	0.23902	79.06	NA	10.9	68.16	1	1	0	0
1	1	4	UK	290	Control Prior IQ	1	0.077051753	0.41420678	83.34	NA	10.9	72.44	1	1	0	0
1	1	4	UK	290	Control Prior IQ	1	0.42669017	0.40978847	83.34	NA	10.9	72.44	1	1	0	0
1	1	4	UK	288	Control Prior IQ	1	0.005194806	0.408383174	83.34	NA	10.9	72.44	1	1	0	0
1	2	13	UK	1017	Control Prior IQ	0	1.619402	0.326735	69.53	NA	10.94	58.59	1	1	0	0
1	2	13	UK	1022	Control Prior IQ	1	0.914732143	0.441696429	69.53	NA	10.94	58.59	1	1	0	0
1	2	13	UK	1021	Control Prior IQ	1	0.304588235	0.441352941	69.53	NA	10.94	58.59	1	1	0	0
1	2	13	UK	981	Control Prior IQ	1	0.718824066	0.46627165	69.53	NA	10.94	58.59	1	1	0	0
1.5	2	13	UK	1024	Control Prior IQ	1	1.702741	0.403269	69.53	NA	10.94	58.59	1	1	0	0
1.5	2	13	UK	1023	Control Prior IQ	1	1.782288	0.399773	69.53	NA	10.94	58.59	1	1	0	0
1.5	2	13	UK	1023	Control Prior IQ	1	1.838672	0.39962	69.53	NA	10.94	58.59	1	1	0	0
1.5	2	13	UK	1022	Control Prior IQ	1	1.871174	0.395404	69.53	NA	10.94	58.59	1	1	0	0
1.5	2	13	UK	989	Control Prior IQ	1	1.497671	0.436001	69.53	NA	10.94	58.59	1	1	0	0
1.5	2	13	UK	1023	Control Prior IQ	1	0.950066	0.395859	69.53	NA	10.94	58.59	1	1	0	0
1.5	2	13	UK	1017	Control Prior IQ	1	0.845477	0.406028	69.53	NA	10.94	58.59	1	1	0	0
1.5	2	13	UK	1027	Control Prior IQ	1	0.445789	0.415866	69.53	NA	10.94	58.59	1	1	0	0
1.5	2	13	UK	811	Control Prior IQ	1	0.138147	0.478828	69.53	NA	10.94	58.59	1	1	0	0
2	3	1	USA	10317	Control Prior IQ	1	1.3228035	0.1327995	53	NA	16	37	1	1	0	0
2	4	1	UK	5362	Control Prior IQ	1	0.5975385	0.0796755	53	NA	15	38	1	1	0	0
2	5	1	UK	18558	Control Prior IQ	0	1.437969	0.073521	50	NA	16	34	1	1	0	0
