title,words,n,n_text
A LOVER’S COMPLAINT,accorded,1,1
A LOVER’S COMPLAINT,acture,1,1
A LOVER’S COMPLAINT,affectedly,1,1
A LOVER’S COMPLAINT,aloes,1,1
A LOVER’S COMPLAINT,amorously,1,1
A LOVER’S COMPLAINT,annexions,1,1
A LOVER’S COMPLAINT,authoriz’d,1,1
A LOVER’S COMPLAINT,beaded,1,1
A LOVER’S COMPLAINT,blazon’d,1,1
A LOVER’S COMPLAINT,blusterer,1,1
A LOVER’S COMPLAINT,bonded,1,1
A LOVER’S COMPLAINT,bragg’d,1,1
A LOVER’S COMPLAINT,browny,1,1
A LOVER’S COMPLAINT,cautels,1,1
A LOVER’S COMPLAINT,commix’d,1,1
A LOVER’S COMPLAINT,congest,1,1
A LOVER’S COMPLAINT,consecrations,1,1
A LOVER’S COMPLAINT,consent’s,1,1
A LOVER’S COMPLAINT,daff’d,1,1
A LOVER’S COMPLAINT,deified,1,1
A LOVER’S COMPLAINT,destin’d,1,1
A LOVER’S COMPLAINT,dialogued,1,1
A LOVER’S COMPLAINT,diff’rence,1,1
A LOVER’S COMPLAINT,emerald,1,1
A LOVER’S COMPLAINT,empatron,1,1
A LOVER’S COMPLAINT,empleach’d,1,1
A LOVER’S COMPLAINT,encrimson’d,1,1
A LOVER’S COMPLAINT,ender,1,1
A LOVER’S COMPLAINT,enswath’d,1,1
A LOVER’S COMPLAINT,extincture,1,1
A LOVER’S COMPLAINT,fastly,1,1
A LOVER’S COMPLAINT,fluxive,1,1
A LOVER’S COMPLAINT,forbode,1,1
A LOVER’S COMPLAINT,force’d,1,1
A LOVER’S COMPLAINT,glaz’d,1,1
A LOVER’S COMPLAINT,glow’d,1,1
A LOVER’S COMPLAINT,grazed,1,1
A LOVER’S COMPLAINT,habitude,1,1
A LOVER’S COMPLAINT,holiest,1,1
A LOVER’S COMPLAINT,hover’d,1,1
A LOVER’S COMPLAINT,hurls,1,1
A LOVER’S COMPLAINT,impressest,1,1
A LOVER’S COMPLAINT,invis’d,1,1
A LOVER’S COMPLAINT,laund’ring,1,1
A LOVER’S COMPLAINT,lover’d,1,1
A LOVER’S COMPLAINT,mansions,1,1
A LOVER’S COMPLAINT,maund,1,1
A LOVER’S COMPLAINT,outwards,1,1
A LOVER’S COMPLAINT,pallid,1,1
A LOVER’S COMPLAINT,peeped,1,1
A LOVER’S COMPLAINT,pensiv’d,1,1
A LOVER’S COMPLAINT,phraseless,1,1
A LOVER’S COMPLAINT,plaintful,1,1
A LOVER’S COMPLAINT,planing,1,1
A LOVER’S COMPLAINT,plat,1,1
A LOVER’S COMPLAINT,platted,1,1
A LOVER’S COMPLAINT,plenitude,1,1
A LOVER’S COMPLAINT,posied,1,1
A LOVER’S COMPLAINT,religion’s,1,1
A LOVER’S COMPLAINT,reworded,1,1
A LOVER’S COMPLAINT,sawn,1,1
A LOVER’S COMPLAINT,scapeth,1,1
A LOVER’S COMPLAINT,scythed,1,1
A LOVER’S COMPLAINT,sexes,1,1
A LOVER’S COMPLAINT,sheav’d,1,1
A LOVER’S COMPLAINT,sist’ring,1,1
A LOVER’S COMPLAINT,storming,1,1
A LOVER’S COMPLAINT,supplicant,1,1
A LOVER’S COMPLAINT,sweetens,1,1
A LOVER’S COMPLAINT,swooning,1,1
A LOVER’S COMPLAINT,t’assail,1,1
A LOVER’S COMPLAINT,t’attend,1,1
A LOVER’S COMPLAINT,termless,1,1
A LOVER’S COMPLAINT,th’orbed,1,1
A LOVER’S COMPLAINT,th’unexperient,1,1
A LOVER’S COMPLAINT,tributes,1,1
A LOVER’S COMPLAINT,unapproved,1,1
A LOVER’S COMPLAINT,undistinguish’d,1,1
A LOVER’S COMPLAINT,unshorn,1,1
A LOVER’S COMPLAINT,untuck’d,1,1
A LOVER’S COMPLAINT,weeper,1,1
A LOVER’S COMPLAINT,weepingly,1,1
A MIDSUMMER NIGHT’S DREAM,lysander,50,1
A MIDSUMMER NIGHT’S DREAM,hermia,49,1
A MIDSUMMER NIGHT’S DREAM,puck,17,1
A MIDSUMMER NIGHT’S DREAM,oberon,16,1
A MIDSUMMER NIGHT’S DREAM,titania,16,1
A MIDSUMMER NIGHT’S DREAM,quince,12,1
A MIDSUMMER NIGHT’S DREAM,hippolyta,11,1
A MIDSUMMER NIGHT’S DREAM,egeus,9,1
A MIDSUMMER NIGHT’S DREAM,thisbe’s,8,1
A MIDSUMMER NIGHT’S DREAM,cobweb,7,1
A MIDSUMMER NIGHT’S DREAM,flute,7,1
A MIDSUMMER NIGHT’S DREAM,hermia’s,7,1
A MIDSUMMER NIGHT’S DREAM,mustardseed,7,1
A MIDSUMMER NIGHT’S DREAM,philostrate,7,1
A MIDSUMMER NIGHT’S DREAM,peaseblossom,6,1
A MIDSUMMER NIGHT’S DREAM,snug,6,1
A MIDSUMMER NIGHT’S DREAM,chink,5,1
A MIDSUMMER NIGHT’S DREAM,wak’st,5,1
A MIDSUMMER NIGHT’S DREAM,blessèd,4,1
A MIDSUMMER NIGHT’S DREAM,lulla,4,1
A MIDSUMMER NIGHT’S DREAM,lysander’s,4,1
A MIDSUMMER NIGHT’S DREAM,fairyland,3,1
A MIDSUMMER NIGHT’S DREAM,glimmering,3,1
A MIDSUMMER NIGHT’S DREAM,aby,2,1
A MIDSUMMER NIGHT’S DREAM,ass’s,2,1
A MIDSUMMER NIGHT’S DREAM,athenian’s,2,1
A MIDSUMMER NIGHT’S DREAM,bergomask,2,1
A MIDSUMMER NIGHT’S DREAM,bottom’s,2,1
A MIDSUMMER NIGHT’S DREAM,enamour’d,2,1
A MIDSUMMER NIGHT’S DREAM,ercles,2,1
A MIDSUMMER NIGHT’S DREAM,flowery,2,1
A MIDSUMMER NIGHT’S DREAM,hornèd,2,1
A MIDSUMMER NIGHT’S DREAM,nedar’s,2,1
A MIDSUMMER NIGHT’S DREAM,ninus,2,1
A MIDSUMMER NIGHT’S DREAM,procrus,2,1
A MIDSUMMER NIGHT’S DREAM,quince’s,2,1
A MIDSUMMER NIGHT’S DREAM,shafalus,2,1
A MIDSUMMER NIGHT’S DREAM,starlight,2,1
A MIDSUMMER NIGHT’S DREAM,thisne,2,1
A MIDSUMMER NIGHT’S DREAM,tuneable,2,1
A MIDSUMMER NIGHT’S DREAM,undistinguishable,2,1
A MIDSUMMER NIGHT’S DREAM,wall’s,2,1
A MIDSUMMER NIGHT’S DREAM,wanderer,2,1
A MIDSUMMER NIGHT’S DREAM,warbling,2,1
A MIDSUMMER NIGHT’S DREAM,abridgment,1,1
A MIDSUMMER NIGHT’S DREAM,aegles,1,1
A MIDSUMMER NIGHT’S DREAM,almanack,1,1
A MIDSUMMER NIGHT’S DREAM,amazèd,1,1
A MIDSUMMER NIGHT’S DREAM,answerèd,1,1
A MIDSUMMER NIGHT’S DREAM,antiopa,1,1
A MIDSUMMER NIGHT’S DREAM,attain’d,1,1
A MIDSUMMER NIGHT’S DREAM,barky,1,1
A MIDSUMMER NIGHT’S DREAM,barm,1,1
A MIDSUMMER NIGHT’S DREAM,bashfulness,1,1
A MIDSUMMER NIGHT’S DREAM,batty,1,1
A MIDSUMMER NIGHT’S DREAM,beachèd,1,1
A MIDSUMMER NIGHT’S DREAM,bead,1,1
A MIDSUMMER NIGHT’S DREAM,bean,1,1
A MIDSUMMER NIGHT’S DREAM,behowls,1,1
