text,title
Судья пристально смотрит на обвиняемых. Их двое -- муж и жена. Самогонщики.,БАБА
"-- Так как же, -- спрашивает судья, -- значит, вы, обвиняемый, не признаете себя виноватым?",БАБА
"-- Нету, -- говорит подсудимый, -- не признаю. .. Она во всем виновата. Она пущай и расплачивается. Я ничего не знаю про это. . .",БАБА
"-- Позвольте, -- удивляется судья, -- как же так? Вы живете с женой в одной квартире и ничего не знаете. Не знаете даже, чем занимается ваша жена.",БАБА
"-- Не знаю, гражданин судья.. . Она во всем.. .",БАБА
"-- Странно, -- говорит судья. -- Подсудимая, что вы скажете?",БАБА
"-- Верно уж, начальник судья, верно.. . Я во всем виновата... Меня и казните. .. Он не касается. ..",БАБА
"-- Гражданка, -- говорит судья, -- если вы хотите выгородить своего мужа, то напрасно. Суд все равно разберет. . . Вы только задерживаете дело. .. Вы сами посудите: не могу же я поверить, что муж живет в одной квартире и ничего не знает... Что, вы не живете с ним, что ли?",БАБА
Подсудимая молчит. Муж радостно кивает головой.,БАБА
"-- Не живу я с ней, -- говорит он, -- вот именно: не живу. Некоторые думают, что я живу, а я нет. . . Она во все виновата. . .",БАБА
-- Верно это?--спрашивает судья у подсудимой.,БАБА
"-- Уж верно. . . Меня одну казните, он не причастен.",БАБА
"-- Вот как! -- говорит судья -- Не живете. . Что ж, вы характером не сошлись?",БАБА
"Подсудимый кивает головой. --- Характером, гражданин судья, и вообще.. Она и старше меня и. . .",БАБА
"-- То есть, как это старше?--спрашивает подсудимая. -- Ровесники мы с ним, гражданин судья..... На месяц-то всего я и старше.",БАБА
"-- Это верно, -- говорит подсудимый, -- на месяц только. . . Это она правильно, гражданин судья. . . Ну, а для бабы каждый месяц, что год. . . В сорок-то лет. . .",БАБА
"-- И нету сорока. Врет он, гражданин судья.",БАБА
"-- Ну хоть и нету, а для бабы и тридцать девять -- возраст. И волос все-таки седой к сорока-то и вообще. . .",БАБА
-- Что вообще?--возмущается подсудимая.-- Ты договаривай! Нечего меня перед народом страмить. Что вообще?,БАБА
Судья улыбается.,БАБА
"-- Ничего, Марусечка. . . Я только так. Я говорю -- вообще. . . и кожа уж не та, и морщинки, ежели, скажем, в сорок-то лет. .. Не живу я с ней, гражданин судья...",БАБА
"-- Ах, вот как! -- кричит подсудимая. -- Кожа тебе не по скусу? Морщинки тебе, морда собачья, не ндравятся? Перед народом меня страмить выдумал. . . Врет он, граждане судьи! Живет он со мной, сукин сын. Живет. И самогонный аппарат сам покупал. . . Я ж для него, сукиного сына, кровь порчу, спасаю его, а он вот что! Страмить. . . Пущай вместе казнят...",БАБА
"Подсудимая плачет, громко сморкаясь в платок. Подсудимый оторопело смотрит на жену. Потом с отчаянием машет рукой.",БАБА
"-- Баба, баба и есть, чортова баба. .. Пущай уж, гражданин судья. . . я тоже. .. И я виноват. Пущай уж... У-у, стерва...",БАБА
Судья совещается с заседателями.,БАБА
"Повалился ко мне один нищий ходить. Парень это был здоровенный: ногу согнет -- портки лопаются, и к тому же нахальный до невозможности. Он стучал в мою дверь кулаками и говорил не как принято: ""подайте, гражданин"", а:",НИЩИЙ
"-- Нельзя ли, гражданин, получить безработному.",НИЩИЙ
"Подал я ему раз, другой, третий. Наконец, говорю:",НИЩИЙ
"-- Вот, братишка, получай полтинник и отстань, сделай милость. Работать мешаешь. . . Раньше как через неделю на глаза не показывайся.",НИЩИЙ
"Через неделю ровно нищий снова заявился. Он поздоровался со мной, как со старым знакомым, за руку. Спросил -- чего пишу.",НИЩИЙ
Я дал ему полтинник. Нищий кивнул мне головой и ушел.,НИЩИЙ
"И всякую неделю, по пятницам, приходил он ко мне, получал свой полтинник, жал мне руку и уходил.",НИЩИЙ
"А раз как-то, получив деньги, он помялся у двери и сказал:",НИЩИЙ
"-- Прибавить, гражданин, нужно. Невозможно как все дорожает.",НИЩИЙ
"Я посмеялся над его нахальством, но прибавил. Наконец, на-днях это было, он приходит ко мне. Денег у меня не было...",НИЩИЙ
"-- Нету, -- говорю, -- братишка, сейчас. В другой раз...",НИЩИЙ
"-- Как, -- говорит, -- в другой раз? Уговор дороже денег... плати сейчас.",НИЩИЙ
"-- Да как же, -- говорю, -- ты можешь требовать?",НИЩИЙ
"-- Да нет, плати сейчас. Я, -- говорит, -- не согласен ждать.",НИЩИЙ
"Посмотрел я на него -- нет, не шутит. Говорит серьезно, обидчиво, кричать даже начал на меня.",НИЩИЙ
"-- Послушай, -- говорю, -- дурья голова, сам посуди, можешь ли ты с меня требовать?",НИЩИЙ
"-- Да нет, -- говорит, -- ничего не знаю. Занял я у соседа полтинник -- дал ему. Он взял деньги и не прощаясь ушел.",НИЩИЙ
"Больше он ко мне не приходил -- наверное, обиделся.",НИЩИЙ
Таинствеиная западня,АВАНТЮРНЫЙ РАССКАЗ
На площадке четвертого этажа человек остановился.,АВАНТЮРНЫЙ РАССКАЗ
"Он пошарил в карманах, вынул спички и чиркнул.",АВАНТЮРНЫЙ РАССКАЗ
"Желтое, короткое пламя осветило медную дверную дощечку. На дощечке было сказано буквально cледующее:",АВАНТЮРНЫЙ РАССКАЗ
"""Зубной врач Яков Петрович Шишман"".",АВАНТЮРНЫЙ РАССКАЗ
"-- Здеся, -- прошептал незнакомец. И, не найдя звонка, постучал ногой в дверь.",АВАНТЮРНЫЙ РАССКАЗ
"Вскоре щелкнул французский замок, и дверь бесшумно раскрылась.",АВАНТЮРНЫЙ РАССКАЗ
"-- Звиняюсь, зубной врач принимают?--спросил незнакомец, с осторожностью входя в полутемную прихожую.",АВАНТЮРНЫЙ РАССКАЗ
"-- Вам придется немного обождать, -- сухо ответил врач. -- У меня сейчас пациент.",АВАНТЮРНЫЙ РАССКАЗ
"-- Ну, что ж, можно обождать, -- добродушно согласился незнакомец.",АВАНТЮРНЫЙ РАССКАЗ
"Врач острым сверлящим взглядом посмотрел на незнакомца и, недобро усмехнувшись, добавил:",АВАНТЮРНЫЙ РАССКАЗ
-- Прошу вас пройти в столовую. Следуйте за мной.,АВАНТЮРНЫЙ РАССКАЗ
"И едва незнакомец сел, как врач, быстро обернувшись назад, выскочил из комнаты и захлопнул за собой тяжелую, массивную дверь.",АВАНТЮРНЫЙ РАССКАЗ
Раздалось зловещее щелканье замка.,АВАНТЮРНЫЙ РАССКАЗ
"Незнакомец смертельно побледнел и пытливым взглядом окинул помещение. Комната была почти пуста. Кроме стола, покрытого скатертью, и пары деревянных стульев, ничего в ней не было.",АВАНТЮРНЫЙ РАССКАЗ
Врач принимает незнакомца.,АВАНТЮРНЫЙ РАССКАЗ
Через двадцать минут зубной врач Яков Шишман принял незнакомца.,АВАНТЮРНЫЙ РАССКАЗ
"-- Я очень извиняюсь, -- сказал врач, -- что мне пришлось закрыть вас в столовой. Прислуги у меня, видите ли, нету. А знаете, какое нынче времечко? Давеча у меня пациенты два пальто с вешалки унесли. Перед тем -- шубу. . . А сегодня, знаете, один дьявол последнюю медную плевательницу из прихожей вынес. Прямо хоть бросай работу. Пока тут, знаете, возишься с пациентом, ожидающие выносят. Приходится принимать такие меры. . . Я очень извиняюсь. . . Откройте рот..",АВАНТЮРНЫЙ РАССКАЗ
"-- Хм, -- неопределенно сказал незнакомец и открыл рот.",АВАНТЮРНЫЙ РАССКАЗ
. Чистая работа,АВАНТЮРНЫЙ РАССКАЗ
"Незнакомец вышел на улицу, остановился у фонаря и саркастически усмехнулся.",АВАНТЮРНЫЙ РАССКАЗ
"-- Тэк, -- сказал незнакомец, -- посмотрим теперича что за дермо.",АВАНТЮРНЫЙ РАССКАЗ
Он вынул из-под пальто столовую скатерть и развернул ее.,АВАНТЮРНЫЙ РАССКАЗ
"-- А скатертишка-то дрянь. Латаная скатертишка, -- прошептал сквозь зубы незнакомец и с остервенением сплюнул.",АВАНТЮРНЫЙ РАССКАЗ
Затем потоптался на месте и пробормотал:,АВАНТЮРНЫЙ РАССКАЗ
"-- Ну, пес с ей, какая есть! Окроме ее ни чорта же не было. Не стулья же, граждане, выносить.",АВАНТЮРНЫЙ РАССКАЗ
Незнакомец махнул рукой и побрел дальше.,АВАНТЮРНЫЙ РАССКАЗ
"Уважаемый читатель! Я не знаю, какие газеты будут через сто лет.",ЧЕРЕЗ СТО ЛЕТ
"Может быть, газет и совсем не будет. Может быть, у каждого гражданина над кроватью будет присобачен особый небольшой радио-приемник, по которому и будут узнаваться последние сенсационные политические новости.",ЧЕРЕЗ СТО ЛЕТ
"Однако, может, газета и будет. Конечно, это будет иная газета, чем теперь. Будет она, небось, напечатана на бристольском картоне с золотым обрезом, в  страницы.",ЧЕРЕЗ СТО ЛЕТ
Но одно в ней сохранится -- это отдел жалоб.,ЧЕРЕЗ СТО ЛЕТ
Говорят: ничто не вечно под луной. Явно врут. Отдел жалоб будет вечно.,ЧЕРЕЗ СТО ЛЕТ
"На наш ничтожный взгляд, в  году отдел этот будет примерно в таком виде:",ЧЕРЕЗ СТО ЛЕТ
Аэро-разврат,ЧЕРЕЗ СТО ЛЕТ
"Уважаемый товарищ редактор! Вчерась, возвращаясь со службы на казенном фармане, мне представилась в воздухе такая картина. Летит под пропеллером двухместная колбаса, на которой облокотившись летит заведывающий -ой радио-кухней со свой кассиршей Есиповой.",ЧЕРЕЗ СТО ЛЕТ
"Не разобравши за шумом, про чего они говорят, я пролетел мимо.",ЧЕРЕЗ СТО ЛЕТ
"А пущай-ка спросит редакция, на какие это народные деньги летит на колбасе зарвавшийся завевающий радио-кухней?",ЧЕРЕЗ СТО ЛЕТ
"А кассиршу давно бы пора по зубам стукнуть -- пущай не тратит бензин на свои любовные прихоти. А когда я на нее с казенного фармана посмотревши, так она трудящемуся язык показывает.",ЧЕРЕЗ СТО ЛЕТ
Служащий  радио-кухни Чесноков.,ЧЕРЕЗ СТО ЛЕТ
Халатность,ЧЕРЕЗ СТО ЛЕТ
"Гражданин редактор! Пора, наконец, упорядочить дело с пеплом.",ЧЕРЕЗ СТО ЛЕТ
"Отвезши мою помершую бабушку в крематорий попросив заведывающего в ударном порядке сжечь ее остатки, я являюсь на другой день за результатом.",ЧЕРЕЗ СТО ЛЕТ
"Оказалось, что мне перепутали пепел, выдав заместо ее пепла пепел какой-то гражданки. На вопрос, -- где же старушкин пепел? -- ааведывающий нагло ответил, что пепел безразлично, какой чей, и что ему нету времени возжаться с пеплом.",ЧЕРЕЗ СТО ЛЕТ
"На вопрос, что эта старушка была свидетельницей Революции и что это -- великая старушка,-- заведывающий явно испугался и просил нe доводить",ЧЕРЕЗ СТО ЛЕТ
"дело до центра, предложив мне, кроме того, взять еще сколько угодно пеплу.",ЧЕРЕЗ СТО ЛЕТ
"На вопрос -- как же я могу разобраться, какой чей пепел, -- заведывающий заявил, что он не в курсе и что он на следующих моих родственниках будет делать специальные метки.",ЧЕРЕЗ СТО ЛЕТ
"Уважаемый редактор, пора бы поднять вопрос о правильной постановке дела на страницах вашего органа.",ЧЕРЕЗ СТО ЛЕТ
С приветом Лучкин,ЧЕРЕЗ СТО ЛЕТ
Тормозят науку,ЧЕРЕЗ СТО ЛЕТ
Уважаемый редактор и дорогие наборщики!,ЧЕРЕЗ СТО ЛЕТ
"Наблюдая из окна в телескоп Марс и другие планеты с научной целью, я заметил какое-то затемнение рефрактора.",ЧЕРЕЗ СТО ЛЕТ
"Взлезши немедленно на подоконник, чтоб узнать, в чем дело, и удостовериться, отчего это затемняется, и не планета ли заслонила трубу, увидел, что сбоку кто-то пронзительно свистнул, и чья-то фигура скрылась за углом трехэтажного небоскреба.",ЧЕРЕЗ СТО ЛЕТ
"При ближайшем осмотре оказалось, что неизвестная фигура сперла с телескопа увеличительную стекляшку, через что смотреть на небесные миры.",ЧЕРЕЗ СТО ЛЕТ
"Заявив милиции о пропаже стекляшки, прошу кроме того уважаемый печатный орган продернуть лиц, тормозящих науку и прущих из-под носа научные стекляшки.",ЧЕРЕЗ СТО ЛЕТ
Ник. Кушаков.,ЧЕРЕЗ СТО ЛЕТ
Старая история,ЧЕРЕЗ СТО ЛЕТ
"Отличаясь слабостью организма, я ежедневно поднимаюсь на колбасе для принятия солнечных ванн.",ЧЕРЕЗ СТО ЛЕТ
"Вчера, поднявшись на небосвод, я обратил внимание, что на бывшем Петропавловском шпилю торчит какая-то штуковинка.",ЧЕРЕЗ СТО ЛЕТ
"Подлетев ближе, выяснилось, что это торчит небольшая бывшая коронка.",ЧЕРЕЗ СТО ЛЕТ
"Доколе же, гражданин редактор и наборщики?",ЧЕРЕЗ СТО ЛЕТ
Неужели же смотритель Петропавловки мечтает еще о возврате царского режима?,ЧЕРЕЗ СТО ЛЕТ
Потомственный крестьянин Егор Бабичев,ЧЕРЕЗ СТО ЛЕТ
На-днях я пошел на склад. Дров покупать.,СЛУЧАЙ
Купил полсажени осиновых и думаю с горечью:,СЛУЧАЙ
"""И топор, думаю, есть, а наколоть дров некому. А мне самому -- здоровье не позволяет"". ..",СЛУЧАЙ
"А я, действительно, человек слабый, организм у меня городской, кость хрупкая, мелко-мещанская. Иной раз взмахнешь топором -- и пугаешься, не сломать бы какой-нибудь нужной части скелета.. .",СЛУЧАЙ
"""Разоренье, -- думаю, -- с этими дровами. Придется, думаю, человечка принанять: наколоть и в этаж снести"".",СЛУЧАЙ
"И вдруг подходит ко мне тут же, на складе, этакий арапистый гражданин в бабьей шляпке и в штанах ужасно рваного вида. Подходит и докладывает:",СЛУЧАЙ
"-- Интересуюсь, говорит, работой. Могу, говорит, колоть, могу пилить и могу в любые этажи носить.",СЛУЧАЙ
"-- Можно, -- говорю. Сговорились мы в цене и пошли. Приходим домой, а хозяйка топора не дает.",СЛУЧАЙ
"-- Я, -- отвечает, -- пятьдесят лет на свете живу. Глаз, говорит, у меня наметанный, и человека я враз вижу. Этот пришедший человек, хотя и симпатичная у него личность, настолько скромно и неинтересно одет, что обязательно топор свистнет. Я, говорит, вдова, на социальном обеспечении, и не могу разбрасываться топорами налево и направо. Я, говорит, топоры не сама делаю.",СЛУЧАЙ
Обеспечил я хозяйке цену за топор -- дала.,СЛУЧАЙ
"Взял мой гражданин топор, поплевал на руки и начал.",СЛУЧАЙ
"Гляжу: ловко так колет -- глядеть приятно. Наколет охапочку, крякнет, взвалит на себя и прет кверху.",СЛУЧАЙ
"Он дрова носит, а хозяйка по квартире мечется -- вещи пересчитывает -- не спер бы, боится.",СЛУЧАЙ
"А сын ее, Мишка, у вешалки польты считает.",СЛУЧАЙ
"""Ах,--думаю,-- чортова мещанка!"" А сам я пальтишко свое снял, отнес в комнатy и газетой прикрыл. ""Лучше, -- думаю, -- газетой прикрыть, чем на глазах пересчитывать -- человека обижать.",СЛУЧАЙ
Гляжу: кончил мой гражданин.,СЛУЧАЙ
Деньги я ему сполна уплатил и говорю любезно:,СЛУЧАЙ
"-- Садитесь, говорю, к столу. Чай будем кушать.",СЛУЧАЙ
"-- Нет, -- говорит, -- спасибо. Бежать надо. Лекция у меня сейчас.",СЛУЧАЙ
"-- Ах, -- говорю, -- скажите па милость, как движется наука и техника! Неужели же, говорю, насчет дров ученые профессора лекции теперича читают?",СЛУЧАЙ
"-- Нет, -- отвечает, -- я студент из вуза. А на дровах работаю для цели питания.",СЛУЧАЙ
"Очень я сконфузился, повесил свое пальто на вешалку, очки на нос надел и говорю любезно:",СЛУЧАЙ
"-- Извините, говорю, за бедность мысли -- обмишурился. .",СЛУЧАЙ
"Хотел я добавить еще какое-нибудь французское или немецкое слово, но с неожиданности перезабыл иностранные языки и замолчал.",СЛУЧАЙ
Стою и кланяюсь молча.,СЛУЧАЙ
А он кивнул головой и интеллигентно вышел.,СЛУЧАЙ
"Вот это был единственный случай, когда я студента видел. До этих пор видеть не приходилось. Даже неловко было. Все кричат: студенты, студенты. А я и не знаю, какие это студенты. Потому формы у них нету. Как узнаешь?",СЛУЧАЙ
